Demo_spol,Demo_starost,Demo_regija,Q1a_1_other,najboljše_ujemanje,razmerje,za_pregled
2,24,1,Telekom,telekom,1.0,False
2,24,10,T2,t2,1.0,False
2,21,7,telekom,telekom,1.0,False
2,19,8,A1,a1,1.0,False
1,30,7,a1,a1,1.0,False
1,24,4,telemach,telemach,1.0,False
1,17,7,Telemach,telemach,1.0,False
1,29,12,hot,hot,1.0,False
2,27,8,A1,a1,1.0,False
2,29,8,Telekom,telekom,1.0,False
1,24,8,t2,t2,1.0,False
1,22,1,Telekom,telekom,1.0,False
2,30,8,Telemach,telemach,1.0,False
2,30,8,Telemach,telemach,1.0,False
2,29,1,Telekom,telekom,1.0,False
2,29,9,Bob,bob,1.0,False
1,22,2,t2,t2,1.0,False
2,20,9,A1,a1,1.0,False
2,27,5,Hofer,hofer,1.0,False
2,30,8,A1,a1,1.0,False
2,18,12,T2,t2,1.0,False
2,29,4,telekom,telekom,1.0,False
2,26,2,Telemach,telemach,1.0,False
1,25,2,telekom,telekom,1.0,False
2,24,8,Telekom,telekom,1.0,False
1,24,2,telemach,telemach,1.0,False
2,21,2,A1,a1,1.0,False
2,21,4,Telekom,telekom,1.0,False
2,19,10,Telekom Slovenije,telekom slovenije,1.0,False
2,30,7,A1,a1,1.0,False
2,21,5,Telekom,telekom,1.0,False
1,26,8,Telemach,telemach,1.0,False
1,27,8,Telekom,telekom,1.0,False
1,27,1,Telekom,telekom,1.0,False
2,26,4,Telemah,telemach,0.9333333333333333,False
2,24,1,A1,a1,1.0,False
1,24,6,A1,a1,1.0,False
1,30,4,Telekom,telekom,1.0,False
1,24,8,telekom,telekom,1.0,False
2,24,2,Telekom,telekom,1.0,False
1,28,7,Telekom,telekom,1.0,False
1,25,2,HoT,hot,1.0,False
1,25,4,T-2,t-2,1.0,False
1,21,8,Telekom,telekom,1.0,False
2,19,7,telekom,telekom,1.0,False
2,21,12,A1,a1,1.0,False
2,24,8,A1,a1,1.0,False
1,25,8,Telekom,telekom,1.0,False
1,22,7,Iphone,hofer,0.5454545454545454,True
2,22,9,Telemach,telemach,1.0,False
2,23,6,Telemach,telemach,1.0,False
2,18,4,Telekom,telekom,1.0,False
1,29,8,Telekom,telekom,1.0,False
2,18,2,telekom,telekom,1.0,False
1,24,5,Telemach,telemach,1.0,False
1,28,8,Telemach,telemach,1.0,False
2,21,5,Telekom,telekom,1.0,False
1,28,8,T-2,t-2,1.0,False
1,30,2,A1,a1,1.0,False
1,29,6,A1,a1,1.0,False
2,21,2,t2,t2,1.0,False
2,25,9,A1,a1,1.0,False
1,19,9,T2,t2,1.0,False
2,23,7,telekom,telekom,1.0,False
1,23,7,Telemach,telemach,1.0,False
2,46,4,Telekom,telekom,1.0,False
1,52,2,Hot,hot,1.0,False
1,34,2,A1,a1,1.0,False
1,34,2,Telekom,telekom,1.0,False
2,53,5,Telemach,telemach,1.0,False
1,43,4,Telekom,telekom,1.0,False
1,32,2,Telekom,telekom,1.0,False
1,41,4,A1,a1,1.0,False
2,35,8,A1,a1,1.0,False
2,44,5,T2,t2,1.0,False
1,52,9,Telemach,telemach,1.0,False
1,54,10,T2,t2,1.0,False
2,44,2,A1,a1,1.0,False
1,54,12,Mobitel,mobitel,1.0,False
2,45,4,mobitel,mobitel,1.0,False
1,44,2,Telelom,telekom,0.8571428571428572,False
2,46,2,bob,bob,1.0,False
2,46,7,t2,t2,1.0,False
2,38,8,bob,bob,1.0,False
1,51,2,telekom,telekom,1.0,False
1,39,4,T2,t2,1.0,False
1,34,8,Telemach,telemach,1.0,False
2,42,1,A1,a1,1.0,False
1,48,4,Telekom,telekom,1.0,False
1,54,2,Telekom,telekom,1.0,False
2,33,8,Bob,bob,1.0,False
1,52,9,Telemach,telemach,1.0,False
1,48,12,t2,t2,1.0,False
1,38,6,A1,a1,1.0,False
2,52,6,Telekom,telekom,1.0,False
2,50,3,telekom,telekom,1.0,False
2,32,2,Telemach,telemach,1.0,False
2,54,1,telekom,telekom,1.0,False
2,43,8,Telemach,telemach,1.0,False
1,33,4,Telekom,telekom,1.0,False
1,44,6,Hot telekom,hot telekom,1.0,False
1,47,8,Telemach,telemach,1.0,False
2,31,8,Telemach,telemach,1.0,False
1,39,8,telemach,telemach,1.0,False
1,38,2,telekom,telekom,1.0,False
2,50,11,Izi,izi,1.0,False
1,31,8,Telemach,telemach,1.0,False
1,49,5,telemach,telemach,1.0,False
2,50,4,Hot,hot,1.0,False
2,43,7,Simobil,simobil,1.0,False
2,54,12,Telekom,telekom,1.0,False
2,48,4,telemach,telemach,1.0,False
2,33,4,Bob,bob,1.0,False
2,41,2,Mobitel,mobitel,1.0,False
1,44,9,bob,bob,1.0,False
2,55,8,telekom,telekom,1.0,False
2,46,12,bob,bob,1.0,False
2,52,8,A1,a1,1.0,False
2,46,2,Hot,hot,1.0,False
2,40,4,Telemach,telemach,1.0,False
1,34,7,A1,a1,1.0,False
1,34,2,Telekom slovenije,telekom slovenije,1.0,False
2,33,2,Telemach,telemach,1.0,False
1,34,11,Bob,bob,1.0,False
1,45,6,Mobitel,mobitel,1.0,False
2,40,3,telekom,telekom,1.0,False
2,55,2,Bob,bob,1.0,False
2,38,8,A1,a1,1.0,False
1,51,12,t2,t2,1.0,False
1,40,10,Telekom Slovenije,telekom slovenije,1.0,False
2,49,4,a1,a1,1.0,False
2,46,7,A1,a1,1.0,False
2,54,7,t2,t2,1.0,False
1,45,7,t-2,t-2,1.0,False
2,50,7,A1,a1,1.0,False
1,32,8,Telekom,telekom,1.0,False
2,31,12,simobil,simobil,1.0,False
1,54,8,Telemah,telemach,0.9333333333333333,False
2,39,7,T2,t2,1.0,False
1,47,9,telekom,telekom,1.0,False
1,52,9,TELEKOM,telekom,1.0,False
1,40,8,telekom,telekom,1.0,False
1,40,12,Telekom,telekom,1.0,False
2,40,4,Telekom,telekom,1.0,False
1,35,8,Telekom,telekom,1.0,False
2,54,8,Telekom,telekom,1.0,False
2,35,4,A1,a1,1.0,False
2,39,8,Telekom,telekom,1.0,False
2,44,12,a1,a1,1.0,False
2,36,8,T2,t2,1.0,False
2,49,8,Bob,bob,1.0,False
2,50,11,Telemach,telemach,1.0,False
2,49,8,A1,a1,1.0,False
2,49,6,T2,t2,1.0,False
2,36,4,Telekom Slovenije,telekom slovenije,1.0,False
1,48,7,A1,a1,1.0,False
2,33,12,Hot,hot,1.0,False
2,43,8,Telemach,telemach,1.0,False
1,42,4,Telemach,telemach,1.0,False
2,45,8,Telemach,telemach,1.0,False
1,49,4,Telemach,telemach,1.0,False
1,36,3,telekom,telekom,1.0,False
1,36,8,T-2,t-2,1.0,False
2,46,11,A1,a1,1.0,False
1,34,8,A1,a1,1.0,False
1,43,8,telemach,telemach,1.0,False
2,45,3,A1,a1,1.0,False
1,43,6,Telekom,telekom,1.0,False
1,45,11,Hot,hot,1.0,False
1,39,6,Telemach,telemach,1.0,False
1,38,2,A1,a1,1.0,False
1,49,8,A1,a1,1.0,False
1,43,8,T2,t2,1.0,False
1,36,1,Telemach,telemach,1.0,False
1,41,12,Telekom,telekom,1.0,False
1,47,5,a1,a1,1.0,False
1,39,8,a1,a1,1.0,False
1,49,6,T-2,t-2,1.0,False
2,41,10,Bob,bob,1.0,False
2,41,11,Telekom,telekom,1.0,False
1,47,8,Telemach,telemach,1.0,False
1,48,10,Telekom,telekom,1.0,False
1,44,8,Telekom,telekom,1.0,False
1,42,8,A1,a1,1.0,False
1,42,8,a1,a1,1.0,False
1,49,3,a1,a1,1.0,False
2,52,2,a1,a1,1.0,False
1,43,8,A1,a1,1.0,False
1,45,2,telemach,telemach,1.0,False
1,44,2,telekonm,telekom,0.9333333333333333,False
1,50,4,A1,a1,1.0,False
2,34,2,Bob,bob,1.0,False
1,44,8,a1,a1,1.0,False
1,40,6,Mibitel,mobitel,0.8571428571428572,False
2,35,9,A1,a1,1.0,False
2,49,4,Telekom,telekom,1.0,False
1,48,8,A1,a1,1.0,False
1,48,10,Telekom,telekom,1.0,False
1,43,6,Telekom,telekom,1.0,False
1,47,9,A1,a1,1.0,False
1,42,9,t-2,t-2,1.0,False
1,43,2,Telekom,telekom,1.0,False
1,53,4,a1,a1,1.0,False
2,39,8,a1,a1,1.0,False
1,31,3,bob,bob,1.0,False
1,38,2,Telekom Slovenije,telekom slovenije,1.0,False
1,33,9,Telemach,telemach,1.0,False
1,33,1,Telekom,telekom,1.0,False
2,44,4,Telekom,telekom,1.0,False
2,38,4,telemach,telemach,1.0,False
1,33,2,A1,a1,1.0,False
2,53,7,A1,a1,1.0,False
2,36,2,Telemach,telemach,1.0,False
2,36,2,T2,t2,1.0,False
2,40,8,A1,a1,1.0,False
1,33,1,A1,a1,1.0,False
2,40,2,telekom,telekom,1.0,False
1,33,11,bob,bob,1.0,False
2,36,8,telemach,telemach,1.0,False
2,54,8,T2,t2,1.0,False
2,51,12,A1,a1,1.0,False
2,34,3,Bob,bob,1.0,False
2,54,4,a1,a1,1.0,False
2,36,3,A1,a1,1.0,False
1,52,4,A1,a1,1.0,False
2,38,4,Telemach,telemach,1.0,False
1,31,11,a1,a1,1.0,False
2,54,8,t2,t2,1.0,False
2,55,4,Telemah,telemach,0.9333333333333333,False
2,55,1,telemach,telemach,1.0,False
1,64,2,A1,a1,1.0,False
2,57,9,bob,bob,1.0,False
1,61,8,Telekom,telekom,1.0,False
1,56,4,Telemach,telemach,1.0,False
2,58,10,a1,a1,1.0,False
1,62,7,T2,t2,1.0,False
1,74,11,mobitel,mobitel,1.0,False
2,70,12,Bob,bob,1.0,False
1,63,1,Telemach,telemach,1.0,False
1,75,8,hot,hot,1.0,False
1,71,8,telemah,telemach,0.9333333333333333,False
2,64,4,A1,a1,1.0,False
2,62,8,Telekom,telekom,1.0,False
1,61,4,T2,t2,1.0,False
2,65,4,Telemah,telemach,0.9333333333333333,False
2,72,3,telekom,telekom,1.0,False
2,65,2,TELEKOM,telekom,1.0,False
1,66,1,Telemach,telemach,1.0,False
2,61,5,Telekom,telekom,1.0,False
2,56,9,Bob,bob,1.0,False
1,57,2,mobitel,mobitel,1.0,False
2,66,8,Telemach,telemach,1.0,False
2,67,5,Telekom,telekom,1.0,False
1,61,3,teleko,telekom,0.9230769230769231,False
2,61,8,Telekom,telekom,1.0,False
2,73,7,Telekom,telekom,1.0,False
1,75,8,Telemach,telemach,1.0,False
2,72,9,Hot,hot,1.0,False
1,59,3,telemah,telemach,0.9333333333333333,False
2,69,8,Telekom,telekom,1.0,False
2,59,9,T2,t2,1.0,False
2,68,12,Telemach,telemach,1.0,False
1,62,12,Telekom,telekom,1.0,False
2,66,6,A1,a1,1.0,False
2,72,2,telemach,telemach,1.0,False
1,66,11,telekom,telekom,1.0,False
2,68,4,telemach,telemach,1.0,False
2,70,8,telekom,telekom,1.0,False
1,66,2,telekom,telekom,1.0,False
2,58,2,BOB,bob,1.0,False
2,61,4,Telemach,telemach,1.0,False
2,69,2,TELEMACH,telemach,1.0,False
2,61,4,T2,t2,1.0,False
1,66,2,telekom,telekom,1.0,False
2,68,1,T-2,t-2,1.0,False
1,70,8,Telekom,telekom,1.0,False
2,67,8,Telemach,telemach,1.0,False
1,57,1,A1,a1,1.0,False
1,65,4,mobitel,mobitel,1.0,False
2,74,4,telemach,telemach,1.0,False
2,68,11,IZI,izi,1.0,False
2,58,5,A1,a1,1.0,False
2,67,9,Diol,siol,0.75,False
2,60,9,Mobitel,mobitel,1.0,False
1,57,8,telekom,telekom,1.0,False
1,66,2,telekom,telekom,1.0,False
1,64,4,A1,a1,1.0,False
1,61,9,A1,a1,1.0,False
2,59,2,A1,a1,1.0,False
1,68,2,telekom,telekom,1.0,False
2,62,8,a 1,a1,0.8,False
1,66,8,telekom,telekom,1.0,False
1,62,11,tekekom,telekom,0.8571428571428572,False
2,57,8,T2,t2,1.0,False
1,58,5,Telekom,telekom,1.0,False
1,56,2,krs,siol,0.2857142857142857,True
1,60,2,telemach,telemach,1.0,False
2,64,7,Telekom,telekom,1.0,False
1,73,8,telekom,telekom,1.0,False
2,75,8,Telemach,telemach,1.0,False
2,71,8,Telemach,telemach,1.0,False
2,69,2,A1,a1,1.0,False
1,64,7,A1,a1,1.0,False
2,68,8,T2,t2,1.0,False
2,56,8,Telekom,telekom,1.0,False
2,57,2,a1,a1,1.0,False
2,61,9,T2,t2,1.0,False
2,68,12,T2,t2,1.0,False
1,60,8,A1,a1,1.0,False
2,72,5,A 1,a1,0.8,False
1,57,1,telekom,telekom,1.0,False
1,72,3,T-2,t-2,1.0,False
2,56,4,Telekom,telekom,1.0,False
2,65,8,A1,a1,1.0,False
2,58,12,Telemach,telemach,1.0,False
2,64,8,A1,a1,1.0,False
2,62,2,Telekom,telekom,1.0,False
2,67,5,A1,a1,1.0,False
1,68,9,telekom,telekom,1.0,False
1,64,8,telemach,telemach,1.0,False
1,69,1,telemach,telemach,1.0,False
2,60,8,t2,t2,1.0,False
2,59,8,A1,a1,1.0,False
2,71,11,Telekom,telekom,1.0,False
1,65,2,Telekom,telekom,1.0,False
2,73,8,A1,a1,1.0,False
1,56,1,Telekom,telekom,1.0,False
1,69,1,Telemach,telemach,1.0,False
2,68,4,Telemach,telemach,1.0,False
2,69,4,Telekom,telekom,1.0,False
1,61,8,Telekom Slovenije,telekom slovenije,1.0,False
1,71,8,Telekom,telekom,1.0,False
1,63,8,Telekom,telekom,1.0,False
2,59,8,TELEKOM,telekom,1.0,False
2,66,8,Telekom,telekom,1.0,False
1,70,8,mobitel,mobitel,1.0,False
1,65,2,Telemach,telemach,1.0,False
1,66,9,Telemach,telemach,1.0,False
1,60,5,a1,a1,1.0,False
1,70,9,t-2,t-2,1.0,False
1,69,11,A1,a1,1.0,False
2,57,1,Mobitel,mobitel,1.0,False
1,68,8,Telemah,telemach,0.9333333333333333,False
1,61,9,Hot,hot,1.0,False
1,63,2,A1,a1,1.0,False
2,60,8,Telekom,telekom,1.0,False
2,56,2,telekom,telekom,1.0,False
1,65,8,Telekom,telekom,1.0,False
1,56,4,Telemah,telemach,0.9333333333333333,False
2,26,2,Telemach,telemach,1.0,False
1,34,1,A1,a1,1.0,False
2,21,9,T2,t2,1.0,False
1,52,2,A1,a1,1.0,False
2,22,9,Telemach,telemach,1.0,False
1,44,3,Telekom,telekom,1.0,False
1,24,8,Telemach,telemach,1.0,False
1,52,12,telemach,telemach,1.0,False
2,58,2,Hot,hot,1.0,False
2,53,6,Telekom,telekom,1.0,False
2,40,2,Mobitel,mobitel,1.0,False
2,45,12,Telekom,telekom,1.0,False
1,56,8,Telemach,telemach,1.0,False
2,33,2,Telemach,telemach,1.0,False
1,55,8,Telemach,telemach,1.0,False
2,60,8,Telekom,telekom,1.0,False
1,58,10,telekom,telekom,1.0,False
2,21,8,a1,a1,1.0,False
1,65,2,Telekom,telekom,1.0,False
1,20,8,A1,a1,1.0,False
2,62,5,Telemach,telemach,1.0,False
2,25,8,Bob,bob,1.0,False
2,55,9,Telekom,telekom,1.0,False
1,64,2,Telemach,telemach,1.0,False
2,57,9,Bob,bob,1.0,False
2,52,8,Telekom,telekom,1.0,False
1,46,8,telekom,telekom,1.0,False
1,57,7,Bob,bob,1.0,False
1,57,8,Hofer mobil,hot mobil,0.8,False
2,42,8,Telekom,telekom,1.0,False
1,33,2,T2,t2,1.0,False
1,24,7,A1,a1,1.0,False
1,65,9,Telemach,telemach,1.0,False
1,20,8,telemach,telemach,1.0,False
1,44,7,t-2,t-2,1.0,False
1,56,8,Telekom,telekom,1.0,False
2,65,7,A1,a1,1.0,False
2,22,4,a1,a1,1.0,False
1,63,8,telemach,telemach,1.0,False
1,46,2,Telemach,telemach,1.0,False
1,58,8,telekom,telekom,1.0,False
2,63,7,Telekom,telekom,1.0,False
2,55,1,A1,a1,1.0,False
1,51,8,Izi,izi,1.0,False
2,53,1,telekom,telekom,1.0,False
1,60,9,telekom,telekom,1.0,False
1,61,1,telekom,telekom,1.0,False
1,44,11,Telekom,telekom,1.0,False
1,48,5,telemach,telemach,1.0,False
2,44,4,Telekom,telekom,1.0,False
1,62,8,Telemach,telemach,1.0,False
1,39,9,Telemach,telemach,1.0,False
2,28,1,Telekom,telekom,1.0,False
1,51,2,Hot,hot,1.0,False
1,48,2,Telemah,telemach,0.9333333333333333,False
1,58,9,telekom,telekom,1.0,False
1,59,2,TELEMACH,telemach,1.0,False
2,42,8,Telemach,telemach,1.0,False
2,59,8,Telemach,telemach,1.0,False
2,32,8,Telemach,telemach,1.0,False
1,49,8,Telekom,telekom,1.0,False
1,62,5,T-2,t-2,1.0,False
1,56,2,telekom,telekom,1.0,False
1,52,8,telemach,telemach,1.0,False
2,41,1,Telemach,telemach,1.0,False
1,45,8,Telemah,telemach,0.9333333333333333,False
2,27,7,Mobitel,mobitel,1.0,False
1,56,4,A1,a1,1.0,False
2,47,2,Telekom,telekom,1.0,False
2,53,4,Telemach,telemach,1.0,False
1,62,9,a1,a1,1.0,False
