Demo_spol,Demo_starost,Demo_regija,D11,S2,Q0B4_r1,Q0B4_r2,Q0B4_r3,Q0B4_r4,Q0B3,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1a_11,Q1a_1_other,Q1a_2_other,Q1a_3_other,Q1a_4_other,Q1a_5_other,Q1a_6_other,Q1a_7_other,Q1a_8_other,Q1a_9_other,Q1a_10_other,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1b_9,Q1b_10,Q1b_11,Q1b_1_other,Q1b_2_other,Q1b_3_other,Q1b_4_other,Q1b_5_other,Q1b_6_other,Q1b_7_other,Q1b_8_other,Q1b_9_other,Q1b_10_other,Q2b_1,Q2b_2,Q2b_3,Q2b_4,Q2b_5,Q2b_6,PREFmobilni,PREFmobilni_8_other,PREFfix
2,24,1,9,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,T2, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,A1,T2, , , , , , ,1,1,1,1,0,0,2, ,3
2,24,10,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,T2,Hot hofer,Simobil,Telekom, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Telemach,Telekom,Hofer,Simobil,T2, , , , , ,1,1,1,1,0,0,6, ,4
2,21,7,8,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,telekom,telemach,bob,a1,hot hofer, , , , , ,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,telekom, , , , , , , , , ,1,1,1,1,0,0,4, ,4
2,19,8,3,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom,T2, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telemah,Telekom, , , , , , , ,1,1,1,1,0,0,2, ,2
1,30,7,5,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,a1,telemach,t2,telekom, , , , , , ,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,a1,telekom,T2,telemach, , , , , , ,1,1,1,1,1,0,2, ,2
1,24,4,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,telemach, , , , , , , , , ,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,A1,telemach, , , , , , , , ,1,1,1,0,0,0,3, ,2
1,17,7,8,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telemach,T2,A1,Telekom,hot hofer,Re - do, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Telemach,T2,A1,Telekom,Total, , , , , ,1,1,1,1,1,0,3, ,2
1,29,12,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,hot,telekom,a1,telemach,redo,bob, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,telemach,t2,telekom,a1, , , , , , ,1,1,1,1,1,0,3, ,3
2,27,8,3,2,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,A1,T2,Telemach,Telekom,Hot hofer,Tuš mobil,Bob, , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T2,A1,Telemach,Telekom, , , , , , ,1,1,1,1,0,0,6, ,6
2,29,8,4,2,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Telekom, , , , , , , , , ,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Telemach, , , , , , , , , ,1,1,1,1,0,0,1, ,1
1,24,8,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,t2,a1,bob,telekom,telemach,redo,izy,špar mobil,hofer, ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,total tv,telekom,telemach,t2,a1, , , , , ,1,1,1,1,1,0,5, ,5
1,22,1,5,2,1,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telekom,Telemach,T2,A1,Bob, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,T2, , , , , , ,1,1,1,1,0,0,1, ,1
